gene,length,count,rate
FERD3L,640,4,160
FAM167B,947,5,189.4
OR6S1,996,5,199.2
C11orf40,654,3,218
HSPB3,679,3,226.33333333333334
TMEM247,680,3,226.66666666666666
REC114,920,4,230
OR8H3,939,4,234.75
OR1Q1,945,4,236.25
OR4D5,957,4,239.25
CT83,517,2,258.5
OR1L6,1044,4,261
HBQ1,528,2,264
CNFN,533,2,266.5
NDUFB7,535,2,267.5
RAET1L,1346,5,269.2
LCE3A,270,1,270
SPRR1A,270,1,270
KRTAP20-3,273,1,273
NDUFS6,550,2,275
C6orf226,557,2,278.5
OST4,559,2,279.5
CCDC167,572,2,286
LCE3B,288,1,288
C15orf65,868,3,289.3333333333333
NUDT1,872,3,290.6666666666667
ERICH2,601,2,300.5
LACRT,613,2,306.5
OR2G3,930,3,310
OR4C16,933,3,311
OR10G9,936,3,312
OR51B2,939,3,313
OR10J3,940,3,313.3333333333333
ASCL3,627,2,313.5
OR6M1,942,3,314
OR2W3,945,3,315
OR5AP2,951,3,317
GRIFIN,649,2,324.5
OR2D3,993,3,331
CBR3,998,3,332.6666666666667
MRAP,1000,3,333.3333333333333
TAL2,668,2,334
NRN1L,681,2,340.5
PSMA7,1023,3,341
A3GALT2,1023,3,341
KRTAP19-4,342,1,342
ZSCAN5B,2059,6,343.1666666666667
GPR45,1725,5,345
VN1R4,1048,3,349.3333333333333
RETNLB,701,2,350.5
FAM166B,1054,3,351.3333333333333
SCO2,1068,3,356
GALNT14,2496,7,356.57142857142856
PTTG1,1070,3,356.6666666666667
OR4A5,1071,3,357
S100A8,717,2,358.5
MPHOSPH10,2164,6,360.6666666666667
FIGLA,722,2,361
MESP1,1094,3,364.6666666666667
OR6B3,1097,3,365.6666666666667
KRTAP25-1,370,1,370
PNLIPRP2,1482,4,370.5
HIGD1C,371,1,371
ALLC,1869,5,373.8
CST4,749,2,374.5
TP53,2653,7,379
TUBA3D,1520,4,380
MRPS18A,1163,3,387.6666666666667
APOE,1166,3,388.6666666666667
TNNC2,780,2,390
KLK12,1171,3,390.3333333333333
CBLC,1576,4,394
MPG,1193,3,397.6666666666667
NDUFA8,804,2,402
C1QTNF9B,1212,3,404
CLIC3,809,2,404.5
MRPL2,1216,3,405.3333333333333
TNP1,407,1,407
AGA,2037,5,407.4
SSX1,1223,3,407.6666666666667
NKG7,816,2,408
ARMS2,818,2,409
IGFLR1,1647,4,411.75
EIF4EBP1,827,2,413.5
KRTAP21-1,414,1,414
KRTAP20-2,414,1,414
GPKOW,1658,4,414.5
CPO,1245,3,415
PP2D1,2119,5,423.8
KCNK16,1272,3,424
FAM47B,2120,5,424
HAX1,1284,3,428
IL37,864,2,432
RESP18,866,2,433
SNAI3,1740,4,435
GDPD3,1306,3,435.3333333333333
CSN3,878,2,439
AARSD1,1320,3,440
C8G,881,2,440.5
S100A7,442,1,442
C4orf47,1333,3,444.3333333333333
KRTAP12-4,447,1,447
MYBPHL,1342,3,447.3333333333333
NKX1-1,1347,3,449
SAA1,904,2,452
OBP2A,914,2,457
C19orf18,915,2,457.5
PAOX,1830,4,457.5
CCDC42,1373,3,457.6666666666667
DEFB121,458,1,458
OR4X1,918,2,459
OR5M11,918,2,459
SERPINI2,1837,4,459.25
LCE1D,460,1,460
BPI,1845,4,461.25
IL3,924,2,462
SYCE3,462,1,462
OR13H1,927,2,463.5
TGIF2LX,928,2,464
OR4B1,930,2,465
OR5AC2,930,2,465
SCGB1A1,466,1,466
OR8I2,933,2,466.5
GZMH,936,2,468
OR2L8,939,2,469.5
P2RX2,1881,4,470.25
OR2B6,942,2,471
PTGER1,1413,3,471
LRTM1,1414,3,471.3333333333333
COMMD3-BMI1,1419,3,473
OR5K2,951,2,475.5
CTU2,1905,4,476.25
ILF2,1906,4,476.5
OR6Q1,954,2,477
PYGM,2866,6,477.6666666666667
TEX43,478,1,478
OR13C9,957,2,478.5
OR2T34,957,2,478.5
TCAP,960,2,480
OR7C2,960,2,480
OR52E6,970,2,485
KRTAP19-5,485,1,485
CCDC102A,2432,5,486.4
ZAR1,1460,3,486.6666666666667
OR6K2,975,2,487.5
OSCP1,1463,3,487.6666666666667
RRAD,1476,3,492
OMP,492,1,492
CEACAM18,1476,3,492
RTN4R,1973,4,493.25
OR5D16,987,2,493.5
MRPS31,1486,3,495.3333333333333
KRTAP4-3,991,2,495.5
REN,1488,3,496
RIBC2,1490,3,496.6666666666667
AGRP,498,1,498
WNT3A,2996,6,499.3333333333333
PCK2,2505,5,501
COQ5,1506,3,502
OR14I1,1007,2,503.5
BCS1L,2015,4,503.75
OR52B6,1008,2,504
LRRC43,2022,4,505.5
EIF3G,1522,3,507.3333333333333
SDHB,1015,2,507.5
MRPS26,1016,2,508
PTX4,1525,3,508.3333333333333
LRFN1,3579,7,511.2857142857143
IQCF6,514,1,514
OR10H2,1029,2,514.5
CCT8L2,2060,4,515
IFT88,3091,6,515.1666666666666
TMEM121,1548,3,516
CRABP2,1033,2,516.5
C11orf24,2071,4,517.75
OR4C3,1036,2,518
