hgnc_symbol,transcript_length,start_position,end_position,ensembl_gene_id,chromosome_name,mutation_count,mut_count_by_trans_len
MIR103B1,62,168560904,168560965,ENSG00000283612,5,2,0.03225806451612903
MIR6747,61,62567011,62567071,ENSG00000276102,11,1,0.01639344262295082
MIR6844,62,124508515,124508576,ENSG00000284087,8,1,0.016129032258064516
MIR4426,63,192716328,192716390,ENSG00000283795,1,1,0.015873015873015872
MIR4467,63,102471469,102471531,ENSG00000284596,7,1,0.015873015873015872
MIR6734,68,43364648,43364715,ENSG00000283836,1,1,0.014705882352941176
MIR3977,70,82840155,82840224,ENSG00000283359,5,1,0.014285714285714285
MIR4689,70,5862672,5862741,ENSG00000264101,1,1,0.014285714285714285
MIR548AE1,70,184378975,184379044,ENSG00000266808,2,1,0.014285714285714285
MIR4299,72,11656651,11656722,ENSG00000266645,11,1,0.013888888888888888
MIR4729,72,59366083,59366154,ENSG00000263857,17,1,0.013888888888888888
CLPS,538,35794982,35797344,ENSG00000137392,6,7,0.013011152416356878
MIR1193,78,101030052,101030129,ENSG00000221036,14,1,0.01282051282051282
PSMB6,871,4796144,4798502,ENSG00000142507,17,11,0.012629161882893225
MIR4694,80,19760004,19760083,ENSG00000264309,11,1,0.0125
MIR514B,80,147250151,147250230,ENSG00000252583,X,1,0.0125
SNORD72,80,40832656,40832735,ENSG00000212296,5,1,0.0125
MIR6785,81,75498548,75498628,ENSG00000284595,17,1,0.012345679012345678
SNORD115-10,81,25187536,25187616,ENSG00000201943,15,1,0.012345679012345678
AURKB,1254,8204733,8210600,ENSG00000178999,17,15,0.011961722488038277
MIR3188,85,18282077,18282161,ENSG00000267959,19,1,0.011764705882352941
FOXS1,1302,31844303,31845604,ENSG00000179772,20,14,0.010752688172043012
SNORD116-2,95,25054210,25054304,ENSG00000207001,15,1,0.010526315789473684
SULT6B1,1057,37167820,37196598,ENSG00000138068,2,11,0.010406811731315043
MIR603,97,24275685,24275781,ENSG00000207930,10,1,0.010309278350515464
MIR602,98,137838419,137838516,ENSG00000207693,9,1,0.01020408163265306
POM121L12,1293,53035633,53036925,ENSG00000221900,7,13,0.010054137664346482
TNP1,407,216859458,216860064,ENSG00000118245,2,4,0.009828009828009828
MIR137,102,98046070,98046171,ENSG00000284202,1,1,0.00980392156862745
NEU2,1143,233032672,233035057,ENSG00000115488,2,11,0.009623797025371828
KCNG2,1876,79797938,79900184,ENSG00000178342,18,18,0.009594882729211088
OR5D18,942,55819630,55820571,ENSG00000186119,11,9,0.009554140127388535
POLD1,3703,50384204,50418018,ENSG00000062822,19,35,0.00945179584120983
IRGC,1596,43716076,43720021,ENSG00000124449,19,15,0.009398496240601503
IRF2BP1,2534,45883608,45886141,ENSG00000170604,19,23,0.009076558800315706
FXYD6-FXYD2,670,117820163,117876667,ENSG00000255245,11,6,0.008955223880597015
GZMA,896,55102646,55110252,ENSG00000145649,5,8,0.008928571428571428
IGFALS,2136,1790413,1794971,ENSG00000099769,16,19,0.008895131086142321
MRPL38,1358,75898644,75905093,ENSG00000204316,17,12,0.008836524300441826
LRRC4B,3348,50516892,50568435,ENSG00000131409,19,29,0.008661887694145758
SPANXB1,466,141002594,141003706,ENSG00000227234,X,4,0.008583690987124463
PCIF1,2689,45934683,45948023,ENSG00000100982,20,23,0.008553365563406471
OR4L1,939,20060045,20060983,ENSG00000176246,14,8,0.008519701810436636
SFN,1308,26863149,26864456,ENSG00000175793,1,11,0.008409785932721712
MIR1256,119,20988314,20988432,ENSG00000221808,1,1,0.008403361344537815
ZNF775,2261,150368790,150398630,ENSG00000196456,7,19,0.008403361344537815
GHRHR,1672,30938669,30993254,ENSG00000106128,7,14,0.008373205741626795
LRRC30,956,7231089,7232044,ENSG00000206422,18,8,0.008368200836820083
TSSK2,1315,19131308,19132622,ENSG00000206203,22,11,0.008365019011406844
SMARCA4,5777,10960932,11079426,ENSG00000127616,19,48,0.008308810801454042
OR5C1,963,122788933,122789895,ENSG00000148215,9,8,0.008307372793354102
ZNF672,3045,248838210,248849517,ENSG00000171161,1,25,0.008210180623973728
RNF151,853,1966823,1968975,ENSG00000179580,16,7,0.008206330597889801
INTS1,6981,1470277,1504389,ENSG00000164880,7,57,0.008165019338203695
OMP,492,77102840,77103331,ENSG00000254550,11,4,0.008130081300813009
SSBP4,1725,18418864,18434562,ENSG00000130511,19,14,0.008115942028985508
CRYGA,622,208160740,208163589,ENSG00000168582,2,5,0.008038585209003215
AGRP,498,67482571,67483547,ENSG00000159723,16,4,0.008032128514056224
KRTAP21-3,253,30718525,30718777,ENSG00000231068,21,2,0.007905138339920948
TUBA3D,1520,131476119,131482934,ENSG00000075886,2,12,0.007894736842105263
ZNF837,2038,58367618,58381030,ENSG00000152475,19,16,0.007850834151128557
C12orf71,1022,27081057,27082578,ENSG00000214700,12,8,0.007827788649706457
SCAF1,4222,49642209,49658642,ENSG00000126461,19,33,0.007816200852676456
F10,1536,113122799,113149529,ENSG00000126218,13,12,0.0078125
PKP3,2817,392614,404908,ENSG00000184363,11,22,0.007809726659566915
PLEC,15249,143915153,143976734,ENSG00000178209,8,119,0.007803790412486065
JAKMIP1,2969,6026199,6200591,ENSG00000152969,4,23,0.007746716066015493
HUS1B,1162,655939,657100,ENSG00000188996,6,9,0.00774526678141136
AMH,1809,2249309,2252073,ENSG00000104899,19,14,0.007739082365948038
PTPRCAP,907,67435510,67437682,ENSG00000213402,11,7,0.007717750826901874
