hgnc_symbol,transcript_length,start_position,end_position,ensembl_gene_id,chromosome_name,mutation_count,mut_count_by_trans_len
MIR4268,64,219906502,219906565,ENSG00000266518,2,18,0.28125
MIR4669,62,134379411,134379472,ENSG00000263897,9,15,0.24193548387096775
MIR3131,63,219058688,219058750,ENSG00000264755,2,12,0.19047619047619047
MIR3689D2,80,134850277,134850356,ENSG00000264136,9,12,0.15
MT4,270,56565073,56568957,ENSG00000102891,16,36,0.13333333333333333
ZNF717,3923,75678660,75785583,ENSG00000227124,3,512,0.13051236298750957
OR2L8,939,247948858,247949796,ENSG00000279263,1,118,0.12566560170394037
KRTAP10-10,1100,44637356,44638455,ENSG00000221859,21,135,0.12272727272727273
OR10G2,1105,21633836,21634940,ENSG00000255582,14,132,0.11945701357466064
OR11L1,969,247840928,247841896,ENSG00000197591,1,112,0.11558307533539731
OR51Q1,1096,5422111,5423206,ENSG00000167360,11,120,0.10948905109489052
OR51B2,939,5323359,5324297,ENSG00000279012,11,102,0.10862619808306709
OR51B6,939,5351508,5352446,ENSG00000176239,11,102,0.10862619808306709
TPSB2,1352,1227272,1230184,ENSG00000197253,16,144,0.10650887573964497
OR52B6,1008,5580877,5581884,ENSG00000187747,11,103,0.10218253968253968
KRTAP19-6,330,30541535,30541864,ENSG00000186925,21,33,0.1
RFPL4AL1,1172,55769118,55773420,ENSG00000229292,19,117,0.09982935153583618
OR6S1,996,20640696,20641691,ENSG00000181803,14,97,0.09738955823293173
KCNJ12,5263,21376357,21419870,ENSG00000184185,17,504,0.09576287288618658
OR1B1,995,122628579,122629573,ENSG00000280094,9,95,0.09547738693467336
OR14I1,1007,248681322,248682328,ENSG00000189181,1,96,0.09533267130089375
OR4L1,939,20060045,20060983,ENSG00000176246,14,89,0.09478168264110756
CELA3B,996,21977022,21998642,ENSG00000219073,1,93,0.09337349397590361
MAP2K3,2401,21284672,21315232,ENSG00000034152,17,223,0.09287796751353602
CSNK2A3,1309,11351942,11353250,ENSG00000254598,11,120,0.09167303284950344
OR51F1,960,4768979,4769938,ENSG00000280021,11,86,0.08958333333333333
OR13C5,957,104598457,104599413,ENSG00000277556,9,85,0.08881922675026123
OR4C16,933,55572128,55573060,ENSG00000279514,11,81,0.08681672025723473
KLRC3,1025,10412315,10420595,ENSG00000205810,12,88,0.08585365853658537
OR4X1,918,48263861,48264778,ENSG00000176567,11,78,0.08496732026143791
