gene,length,count,rate,percentage
DEFB135,299,9,33.22222222222222,0
KRTAP19-8,318,6,53,0.006110601894286588
OR10J3,940,17,55.294117647058826,0.012221203788573175
S100P,471,8,58.875,0.01833180568285976
PRLH,264,4,66,0.02444240757714635
TMEM247,680,10,68,0.030553009471432937
OR2G3,930,13,71.53846153846153,0.03666361136571952
OR4D11,936,13,72,0.042774213260006105
OR8H3,939,13,72.23076923076923,0.0488848151542927
OR5C1,963,13,74.07692307692308,0.054995417048579284
HIGD1C,371,5,74.2,0.061106018942865874
DHDH,1064,14,76,0.06721662083715245
VPREB1,644,8,80.5,0.07332722273143905
AGRP,498,6,83,0.07943782462572563
DPH3P1,249,3,83,0.07943782462572563
C19orf71,675,8,84.375,0.09165902841429881
OR6B3,1097,13,84.38461538461539,0.0977696303085854
OR4C16,933,11,84.81818181818181,0.10388023220287199
VHLL,684,8,85.5,0.10999083409715857
OR5D18,942,11,85.63636363636364,0.11610143599144515
CCDC124,1055,12,87.91666666666667,0.12221203788573175
DEFB123,354,4,88.5,0.12832263978001834
NDUFB7,535,6,89.16666666666667,0.1344332416743049
APOE,1166,13,89.6923076923077,0.1405438435685915
PRSS57,1090,12,90.83333333333333,0.1466544454628781
FAM24B,728,8,91,0.15276504735716467
GHRH,547,6,91.16666666666667,0.15887564925145126
HSPB9,549,6,91.5,0.16498625114573787
CSN2,1114,12,92.83333333333333,0.17109685304002442
DEFA6,465,5,93,0.17720745493431103
OR51B4,933,10,93.3,0.18331805682859761
C11orf40,654,7,93.42857142857143,0.1894286587228842
PAGE1,659,7,94.14285714285714,0.1955392606171708
IL37,864,9,96,0.20164986251145736
KCNK18,1155,12,96.25,0.20776046440574397
OR52W1,963,10,96.3,0.21387106630003055
PSMB7,984,10,98.4,0.21998166819431714
APOBEC1,894,9,99.33333333333333,0.22609227008860375
SLPI,596,6,99.33333333333333,0.22609227008860375
ABHD16B,1491,15,99.4,0.23831347387717688
PTX4,1525,15,101.66666666666667,0.2444240757714635
NT5DC2,2047,20,102.35,0.2505346776657501
C5orf52,721,7,103,0.2566452795600367
OR2D2,927,9,103,0.2566452795600367
CT83,517,5,103.4,0.2688664833486098
RAC3,1038,10,103.8,0.27497708524289644
C19orf33,520,5,104,0.281087687137183
OR6C70,939,9,104.33333333333333,0.2871982890314696
OR1Q1,945,9,105,0.2933088909257562
OR4C12,1063,10,106.3,0.29941949282004277
OR2T34,957,9,106.33333333333333,0.30553009471432935
CXCL1,1174,11,106.72727272727273,0.31164069660861593
MRPL16,1083,10,108.3,0.3177512985029025
PRG3,869,8,108.625,0.32386190039718915
SUSD3,1196,11,108.72727272727273,0.32997250229147573
TSSK2,1315,12,109.58333333333333,0.3360831041857623
ZNF878,1756,16,109.75,0.34219370608004884
TP53,2653,24,110.54166666666667,0.3483043079743355
OR10G8,1109,10,110.9,0.35441490986862206
TAL2,668,6,111.33333333333333,0.36052551176290865
MYL10,1004,9,111.55555555555556,0.36663611365719523
FAM47B,2120,19,111.57894736842105,0.37274671555148187
